element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
109,-12.9769664,50.0902138,-85.9985349,83,1,8534.64,0.246,-441.003906
110,34.4496066,50.0902138,-85.9985349,78,1,8534.64,0.246,-441.003906
111,81.8761796,50.0902138,-85.9985349,78,0,0,0.246,-441.003906
112,129.302752,50.0902138,-85.9985349,83,0,0,0.246,-441.003906
113,-202.683259,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
114,-155.256686,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
115,-107.830113,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
116,-60.4035395,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
117,-12.9769664,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
118,34.4496066,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
119,81.8761796,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
120,129.302752,83.0466077,-85.9985349,81,0,0,0.246,-441.003906
121,-202.683259,116.003001,-85.9985349,80,0,0,0.246,-441.003906
122,-155.256686,116.003001,-85.9985349,81,0,0,0.246,-441.003906
123,-107.830113,116.003001,-85.9985349,81,0,0,0.246,-441.003906
124,-60.4035395,116.003001,-85.9985349,80,0,0,0.246,-441.003906
125,-12.9769664,116.003001,-85.9985349,80,0,0,0.246,-441.003906
126,34.4496066,116.003001,-85.9985349,81,0,0,0.246,-441.003906
127,81.8761796,116.003001,-85.9985349,81,0,0,0.246,-441.003906
128,129.302752,116.003001,-85.9985349,80,0,0,0.246,-441.003906
129,-202.683259,-114.691755,-22.4975586,80,0,0,0.246,-441.003906
130,-155.256686,-114.691755,-22.4975586,81,0,0,0.246,-441.003906
131,-107.830113,-114.691755,-22.4975586,81,1,8534.64,0.246,-441.003906
132,-60.4035395,-114.691755,-22.4975586,80,1,8534.64,0.246,-441.003906
133,-12.9769664,-114.691755,-22.4975586,80,1,8534.64,0.246,-441.003906
134,34.4496066,-114.691755,-22.4975586,81,1,8534.64,0.246,-441.003906
135,81.8761796,-114.691755,-22.4975586,81,1,8534.64,0.246,-441.003906
136,129.302752,-114.691755,-22.4975586,80,1,8534.64,0.246,-441.003906
137,-202.683259,-81.7353616,-22.4975586,81,0,0,0.246,-441.003906
138,-155.256686,-81.7353616,-22.4975586,81,1,8534.64,0.246,-441.003906
139,-107.830113,-81.7353616,-22.4975586,81,1,8534.64,0.246,-441.003906
140,-60.4035395,-81.7353616,-22.4975586,81,0.160493827,432.595792,0.246,-441.003906
141,-12.9769664,-81.7353616,-22.4975586,81,1,8534.64,0.246,-441.003906
142,34.4496066,-81.7353616,-22.4975586,81,1,8534.64,0.246,-441.003906
143,81.8761796,-81.7353616,-22.4975586,81,0.975308642,8193.8269,0.246,-441.003906
144,129.302752,-81.7353616,-22.4975586,81,1,8534.64,0.246,-441.003906
145,-202.683259,-48.7789678,-22.4975586,83,0,0,0.246,-441.003906
146,-155.256686,-48.7789678,-22.4975586,78,1,8534.64,0.246,-441.003906
147,-107.830113,-48.7789678,-22.4975586,78,1,8534.64,0.246,-441.003906
148,-60.4035395,-48.7789678,-22.4975586,83,0.891566265,7078.40845,0.246,-441.003906
149,-12.9769664,-48.7789678,-22.4975586,83,1,8534.64,0.246,-441.003906
150,34.4496066,-48.7789678,-22.4975586,78,1,8534.64,0.246,-441.003906
151,81.8761796,-48.7789678,-22.4975586,78,1,8534.64,0.246,-441.003906
152,129.302752,-48.7789678,-22.4975586,83,1,8534.64,0.246,-441.003906
153,-202.683259,-15.8225739,-22.4975586,82,0,0,0.246,-441.003906
154,-155.256686,-15.8225739,-22.4975586,77,1,8534.64,0.246,-441.003906
155,-107.830113,-15.8225739,-22.4975586,77,0.987012987,8354.71193,0.246,-441.003906
