element_id,centroid_x_mm,centroid_y_mm,centroid_z_mm,sample_voxels,bvtv,youngs_modulus_mpa,poissons_ratio,threshold
151,81.8761796,-48.7789678,-22.4975586,78,0,0,0.246,300
152,129.302752,-48.7789678,-22.4975586,83,0,0,0.246,300
153,-202.683259,-15.8225739,-22.4975586,82,0,0,0.246,300
154,-155.256686,-15.8225739,-22.4975586,77,0,0,0.246,300
155,-107.830113,-15.8225739,-22.4975586,77,0,0,0.246,300
156,-60.4035395,-15.8225739,-22.4975586,82,0,0,0.246,300
157,-12.9769664,-15.8225739,-22.4975586,82,0,0,0.246,300
158,34.4496066,-15.8225739,-22.4975586,77,0,0,0.246,300
159,81.8761796,-15.8225739,-22.4975586,77,0,0,0.246,300
160,129.302752,-15.8225739,-22.4975586,82,0,0,0.246,300
161,-202.683259,17.13382,-22.4975586,82,0,0,0.246,300
162,-155.256686,17.13382,-22.4975586,77,0,0,0.246,300
163,-107.830113,17.13382,-22.4975586,77,0,0,0.246,300
164,-60.4035395,17.13382,-22.4975586,82,0,0,0.246,300
165,-12.9769664,17.13382,-22.4975586,82,0,0,0.246,300
166,34.4496066,17.13382,-22.4975586,77,0,0,0.246,300
167,81.8761796,17.13382,-22.4975586,77,0.246753247,872.114876,0.246,300
168,129.302752,17.13382,-22.4975586,82,0,0,0.246,300
169,-202.683259,50.0902138,-22.4975586,83,0,0,0.246,300
170,-155.256686,50.0902138,-22.4975586,78,0,0,0.246,300
171,-107.830113,50.0902138,-22.4975586,78,0,0,0.246,300
172,-60.4035395,50.0902138,-22.4975586,83,0,0,0.246,300
173,-12.9769664,50.0902138,-22.4975586,83,0,0,0.246,300
174,34.4496066,50.0902138,-22.4975586,78,0,0,0.246,300
175,81.8761796,50.0902138,-22.4975586,78,0,0,0.246,300
176,129.302752,50.0902138,-22.4975586,83,0,0,0.246,300
177,-202.683259,83.0466077,-22.4975586,81,0,0,0.246,300
178,-155.256686,83.0466077,-22.4975586,81,0,0,0.246,300
179,-107.830113,83.0466077,-22.4975586,81,0,0,0.246,300
180,-60.4035395,83.0466077,-22.4975586,81,0,0,0.246,300
181,-12.9769664,83.0466077,-22.4975586,81,0,0,0.246,300
182,34.4496066,83.0466077,-22.4975586,81,0.728395062,5091.47253,0.246,300
183,81.8761796,83.0466077,-22.4975586,81,0,0,0.246,300
184,129.302752,83.0466077,-22.4975586,81,0,0,0.246,300
185,-202.683259,116.003001,-22.4975586,80,0,0,0.246,300
186,-155.256686,116.003001,-22.4975586,81,0,0,0.246,300
187,-107.830113,116.003001,-22.4975586,81,0,0,0.246,300
188,-60.4035395,116.003001,-22.4975586,80,0,0,0.246,300
189,-12.9769664,116.003001,-22.4975586,80,0,0,0.246,300
190,34.4496066,116.003001,-22.4975586,81,0,0,0.246,300
191,81.8761796,116.003001,-22.4975586,81,0,0,0.246,300
192,129.302752,116.003001,-22.4975586,80,0,0,0.246,300
193,-202.683259,-114.691755,41.0034179,80,0,0,0.246,300
194,-155.256686,-114.691755,41.0034179,81,0,0,0.246,300
195,-107.830113,-114.691755,41.0034179,81,0.444444444,2275.76651,0.246,300
196,-60.4035395,-114.691755,41.0034179,80,0,0,0.246,300
197,-12.9769664,-114.691755,41.0034179,80,0.15,387.448478,0.246,300
198,34.4496066,-114.691755,41.0034179,81,0,0,0.246,300
199,81.8761796,-114.691755,41.0034179,81,0.012345679,6.61233162,0.246,300
200,129.302752,-114.691755,41.0034179,80,0,0,0.246,300
201,-202.683259,-81.7353616,41.0034179,81,0,0,0.246,300
202,-155.256686,-81.7353616,41.0034179,81,0.580246914,3514.58567,0.246,300
203,-107.830113,-81.7353616,41.0034179,81,0,0,0.246,300
204,-60.4035395,-81.7353616,41.0034179,81,0,0,0.246,300
205,-12.9769664,-81.7353616,41.0034179,81,0.024691358,20.4660259,0.246,300
206,34.4496066,-81.7353616,41.0034179,81,0,0,0.246,300
207,81.8761796,-81.7353616,41.0034179,81,0,0,0.246,300
208,129.302752,-81.7353616,41.0034179,81,0,0,0.246,300
209,-202.683259,-48.7789678,41.0034179,83,0,0,0.246,300
210,-155.256686,-48.7789678,41.0034179,78,0,0,0.246,300
211,-107.830113,-48.7789678,41.0034179,78,0,0,0.246,300
212,-60.4035395,-48.7789678,41.0034179,83,0.120481928,271.074032,0.246,300
213,-12.9769664,-48.7789678,41.0034179,83,0.361445783,1624.78373,0.246,300
214,34.4496066,-48.7789678,41.0034179,78,0,0,0.246,300
215,81.8761796,-48.7789678,41.0034179,78,0,0,0.246,300
216,129.302752,-48.7789678,41.0034179,83,0,0,0.246,300
217,-202.683259,-15.8225739,41.0034179,82,0,0,0.246,300
218,-155.256686,-15.8225739,41.0034179,77,0,0,0.246,300
219,-107.830113,-15.8225739,41.0034179,77,0,0,0.246,300
220,-60.4035395,-15.8225739,41.0034179,82,1,8534.64,0.246,300
